status,error,pair_id,site,site_slug,stack,block,output_index,direction,source_label,target_label,source_prompt,target_prompt,seed,duration,steps,guidance_scale,alpha,sample_rate,source_activation_calls,patch_calls,suffix_tokens,source_baseline_centroid_mean_hz,target_baseline_centroid_mean_hz,patched_centroid_mean_hz,patched_centroid_median_hz,target_delta_centroid_hz,signed_brightness_effect_hz,source_shift_fraction,elapsed_seconds,wav_path,distance_target_to_source_hz,distance_patched_to_source_hz,closer_to_source,toward_source,overshot_source
ok,,18,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,bright_to_dark,bright,dark,a bright crisp snare drum roll,a dark muffled snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,645,3301.8857421875,1677.6182861328125,3130.147216796875,3437.587646484375,1452.5289306640625,1452.5289306640625,0.8942670896037194,0.853,/outputs/brightness-centroid-movement-v1/18/bright-to-dark/18-bright-to-dark-single-transformer-blocks-13.wav,1624.2674560546875,171.738525390625,True,True,False
ok,,18,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,dark_to_bright,dark,bright,a dark muffled snare drum roll,a bright crisp snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,645,1677.6182861328125,3301.8857421875,1678.85205078125,1478.22119140625,-1623.03369140625,1623.03369140625,0.9992404177995203,0.851,/outputs/brightness-centroid-movement-v1/18/dark-to-bright/18-dark-to-bright-single-transformer-blocks-13.wav,1624.2674560546875,1.2337646484375,True,True,False
ok,,18,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,bright_to_dark,bright,dark,a bright crisp snare drum roll,a dark muffled snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,,3301.8857421875,1677.6182861328125,3105.058349609375,3439.947021484375,1427.4400634765625,1427.4400634765625,0.8788208235999416,0.859,/outputs/brightness-centroid-movement-v1/18/bright-to-dark/18-bright-to-dark-transformer-blocks-1.wav,1624.2674560546875,196.827392578125,True,True,False
ok,,18,transformer.transformer_blocks.1,transformer_blocks-1,dual,1,1,dark_to_bright,dark,bright,a dark muffled snare drum roll,a bright crisp snare drum roll,118,3.0,25,4.5,1.0,44100,25,25,,1677.6182861328125,3301.8857421875,1651.5684814453125,1494.504150390625,-1650.3172607421875,1650.3172607421875,1.0160378788544926,0.86,/outputs/brightness-centroid-movement-v1/18/dark-to-bright/18-dark-to-bright-transformer-blocks-1.wav,1624.2674560546875,26.0498046875,True,True,True
ok,,19,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,bright_to_dark,bright,dark,a bright clean jazz saxophone phrase,a dark smoky jazz saxophone phrase,119,3.0,25,4.5,1.0,44100,25,25,645,1626.734375,1724.774658203125,1645.3935546875,1604.0257568359375,-79.381103515625,-79.381103515625,0.8096784395365226,0.869,/outputs/brightness-centroid-movement-v1/19/bright-to-dark/19-bright-to-dark-single-transformer-blocks-17.wav,98.040283203125,18.6591796875,True,True,False
ok,,19,transformer.single_transformer_blocks.17,single_transformer_blocks-17,single,17,0,dark_to_bright,dark,bright,a dark smoky jazz saxophone phrase,a bright clean jazz saxophone phrase,119,3.0,25,4.5,1.0,44100,25,25,645,1724.774658203125,1626.734375,1676.8262939453125,1619.6680908203125,50.0919189453125,-50.0919189453125,0.5109320098711816,0.868,/outputs/brightness-centroid-movement-v1/19/dark-to-bright/19-dark-to-bright-single-transformer-blocks-17.wav,98.040283203125,47.9483642578125,True,True,False
ok,,19,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,bright_to_dark,bright,dark,a bright clean jazz saxophone phrase,a dark smoky jazz saxophone phrase,119,3.0,25,4.5,1.0,44100,25,25,645,1626.734375,1724.774658203125,1724.537353515625,1672.8828125,-0.2373046875,-0.2373046875,0.002420481456671639,0.865,/outputs/brightness-centroid-movement-v1/19/bright-to-dark/19-bright-to-dark-single-transformer-blocks-14.wav,98.040283203125,97.802978515625,True,True,False
ok,,19,transformer.single_transformer_blocks.14,single_transformer_blocks-14,single,14,0,dark_to_bright,dark,bright,a dark smoky jazz saxophone phrase,a bright clean jazz saxophone phrase,119,3.0,25,4.5,1.0,44100,25,25,645,1724.774658203125,1626.734375,1650.2431640625,1613.38330078125,23.5087890625,-23.5087890625,0.23978703747512906,0.865,/outputs/brightness-centroid-movement-v1/19/dark-to-bright/19-dark-to-bright-single-transformer-blocks-14.wav,98.040283203125,74.531494140625,True,True,False
ok,,19,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,bright_to_dark,bright,dark,a bright clean jazz saxophone phrase,a dark smoky jazz saxophone phrase,119,3.0,25,4.5,1.0,44100,25,25,645,1626.734375,1724.774658203125,1715.73388671875,1656.8289794921875,-9.040771484375,-9.040771484375,0.09221486504321755,0.86,/outputs/brightness-centroid-movement-v1/19/bright-to-dark/19-bright-to-dark-single-transformer-blocks-13.wav,98.040283203125,88.99951171875,True,True,False
ok,,19,transformer.single_transformer_blocks.13,single_transformer_blocks-13,single,13,0,dark_to_bright,dark,bright,a dark smoky jazz saxophone phrase,a bright clean jazz saxophone phrase,119,3.0,25,4.5,1.0,44100,25,25,645,1724.774658203125,1626.734375,1650.05419921875,1613.490478515625,23.31982421875,-23.31982421875,0.23785961705592756,0.87,/outputs/brightness-centroid-movement-v1/19/dark-to-bright/19-dark-to-bright-single-transformer-blocks-13.wav,98.040283203125,74.720458984375,True,True,False
