status,error,pair_id,site,stack,block,direction,window_start,window_end,alpha,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms
ok,,03,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,25,1.0,1.3420265913009644,14.190225601196289,0.8137924671173096,2133.394287109375,2484.386962890625,1552.4002685546875,2792.1995464852607,139.31972789115645,1097.142857142857,-15.387746269830597,-12.071637205582071,-22.926383946381165,0.8315513687427899,0.0,0.6898415378218197
ok,,03,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,38,1.0,1.21049964427948,14.190225601196289,0.8137924671173096,1954.396728515625,2484.386962890625,1552.4002685546875,1102.9478458049887,139.31972789115645,1097.142857142857,-16.936721215346502,-12.071637205582071,-22.926383946381165,0.8139268974437933,0.0,0.6898415378218197
ok,,03,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,0,50,1.0,1.203018307685852,14.190225601196289,0.8137924671173096,1871.9619140625,2484.386962890625,1552.4002685546875,1097.142857142857,139.31972789115645,1097.142857142857,-17.698236000216745,-12.071637205582071,-22.926383946381165,0.8371044366438808,0.0,0.6898415378218197
ok,,03,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,12,50,1.0,1.7265379428863525,14.190225601196289,0.8137924671173096,1854.1842041015625,2484.386962890625,1552.4002685546875,1102.9478458049887,139.31972789115645,1097.142857142857,-17.88403921848327,-12.071637205582071,-22.926383946381165,0.5803163315413928,0.0,0.6898415378218197
ok,,03,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,25,50,1.0,4.397823810577393,14.190225601196289,0.8137924671173096,2027.9764404296875,2484.386962890625,1552.4002685546875,1102.9478458049887,139.31972789115645,1097.142857142857,-15.940446426596623,-12.071637205582071,-22.926383946381165,0.7635670672134688,0.0,0.6898415378218197
ok,,03,transformer.transformer_blocks.3,dual,3,percussive_to_sustained,38,50,1.0,9.804827690124512,14.190225601196289,0.8137924671173096,2203.49853515625,2484.386962890625,1552.4002685546875,168.34467120181407,139.31972789115645,1097.142857142857,-14.459532573009565,-12.071637205582071,-22.926383946381165,0.0,0.0,0.6898415378218197
ok,,03,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,12,1.0,10.7429838180542,0.8137924671173096,14.190225601196289,2265.15625,1552.4002685546875,2484.386962890625,162.53968253968253,1097.142857142857,139.31972789115645,-13.928551572128377,-22.926383946381165,-12.071637205582071,0.8192796667332193,0.6898415378218197,0.0
ok,,03,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,25,1.0,12.153517723083496,0.8137924671173096,14.190225601196289,2440.557861328125,1552.4002685546875,2484.386962890625,139.31972789115645,1097.142857142857,139.31972789115645,-12.394670045724187,-22.926383946381165,-12.071637205582071,0.7494950614209372,0.6898415378218197,0.0
ok,,03,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,38,1.0,13.37267780303955,0.8137924671173096,14.190225601196289,2499.8037109375,1552.4002685546875,2484.386962890625,139.31972789115645,1097.142857142857,139.31972789115645,-12.160784673432698,-22.926383946381165,-12.071637205582071,0.7445321652397054,0.6898415378218197,0.0
ok,,03,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,0,50,1.0,14.110331535339355,0.8137924671173096,14.190225601196289,2608.559814453125,1552.4002685546875,2484.386962890625,139.31972789115645,1097.142857142857,139.31972789115645,-11.514184236957066,-22.926383946381165,-12.071637205582071,0.7396812001948719,0.6898415378218197,0.0
ok,,03,transformer.single_transformer_blocks.8,single,8,sustained_to_percussive,12,50,1.0,12.108253479003906,0.8137924671173096,14.190225601196289,2334.113525390625,1552.4002685546875,2484.386962890625,156.73469387755102,1097.142857142857,139.31972789115645,-14.195457133083485,-22.926383946381165,-12.071637205582071,0.745517326881728,0.6898415378218197,0.0
