status,pair_id,site,stack,block,scale,patched_onset_strength_max,target_baseline_onset_strength_max,source_baseline_onset_strength_max,patched_spectral_centroid_mean_hz,target_baseline_spectral_centroid_mean_hz,source_baseline_spectral_centroid_mean_hz,patched_decay_time_to_minus_20db_ms,target_baseline_decay_time_to_minus_20db_ms,source_baseline_decay_time_to_minus_20db_ms,patched_high_to_low_db,target_baseline_high_to_low_db,source_baseline_high_to_low_db,patched_tail_energy_fraction_500ms,target_baseline_tail_energy_fraction_500ms,source_baseline_tail_energy_fraction_500ms,patched_direct_to_late_db,target_baseline_direct_to_late_db,source_baseline_direct_to_late_db,patched_reverb_proxy_score,target_baseline_reverb_proxy_score,source_baseline_reverb_proxy_score,patched_late_energy_fraction_300ms,target_baseline_late_energy_fraction_300ms,source_baseline_late_energy_fraction_300ms,patched_late_energy_fraction_700ms,target_baseline_late_energy_fraction_700ms,source_baseline_late_energy_fraction_700ms
ok,03,transformer.transformer_blocks.3,dual,3,2.0,1.5484510660171509,3.348205089569092,5.6522355616092685,3978.329833984375,1680.0316162109375,2039.570297241211,824.3083900226758,1230.657596371882,890.7755102040815,7.9119830146871575,-15.992128954412962,-10.936211067898736,0.9901604560318125,0.5123665344246793,0.30406188591700545,-13.946867937579972,-7.974611663510046,-3.269264118804209,0.980518970893145,0.6433843325126524,0.4154856767189981,0.9946169177416764,0.7048749634813317,0.425173164811733,0.9856795199620328,0.36277673402731087,0.18407631979538608
ok,03,transformer.transformer_blocks.3,dual,3,4.0,1.4272804260253906,3.348205089569092,5.6522355616092685,4048.4921875,1680.0316162109375,2039.570297241211,1137.7777777777778,1230.657596371882,890.7755102040815,3.7584954807419875,-15.992128954412962,-10.936211067898736,0.8690892526769176,0.5123665344246793,0.30406188591700545,-14.871996083775167,-7.974611663510046,-3.269264118804209,0.9051111146521124,0.6433843325126524,0.4154856767189981,0.9312217784411231,0.7048749634813317,0.425173164811733,0.8156529996733846,0.36277673402731087,0.18407631979538608
ok,04,transformer.transformer_blocks.3,dual,3,0.5,2.4557297229766846,3.426016330718994,5.730046802759171,1788.0714111328125,1969.89794921875,2329.4366302490234,3244.988662131519,1845.9863945578231,1506.1043083900227,-20.940797090320626,-18.822430775870465,-13.766512889356239,0.5831699857945346,0.32535008376117536,0.11704543525350153,-5.50879447141329,-5.275438548971051,-0.5700910042652136,0.6662367150785758,0.5129606301192668,0.2850619743256126,0.7194640198800323,0.5045253542979016,0.22482355562830286,0.4987693750872575,0.2632244532522444,0.08452403902031963
ok,04,transformer.transformer_blocks.3,dual,3,1.0,6.802801132202148,3.426016330718994,5.730046802759171,2353.1640625,1969.89794921875,2329.4366302490234,609.5238095238096,1845.9863945578231,1506.1043083900227,-8.67053969511595,-18.822430775870465,-13.766512889356239,0.24208489816053205,0.32535008376117536,0.11704543525350153,-3.0525686370747414,-5.275438548971051,-0.5700910042652136,0.39950731083295854,0.5129606301192668,0.2850619743256126,0.3274106989884546,0.5045253542979016,0.22482355562830286,0.20228525913590448,0.2632244532522444,0.08452403902031963
ok,04,transformer.transformer_blocks.3,dual,3,2.0,7.415440559387207,3.426016330718994,5.730046802759171,3451.315673828125,1969.89794921875,2329.4366302490234,319.27437641723355,1845.9863945578231,1506.1043083900227,0.6937265664930559,-18.822430775870465,-13.766512889356239,0.09231522333507354,0.32535008376117536,0.11704543525350153,2.3903841545816276,-5.275438548971051,-0.5700910042652136,0.19011474679397944,0.5129606301192668,0.2850619743256126,0.12711391723841384,0.5045253542979016,0.22482355562830286,0.07746017188568748,0.2632244532522444,0.08452403902031963
ok,04,transformer.transformer_blocks.3,dual,3,4.0,1.2241322994232178,3.426016330718994,5.730046802759171,3356.737548828125,1969.89794921875,2329.4366302490234,1857.5963718820863,1845.9863945578231,1506.1043083900227,-4.511925853161369,-18.822430775870465,-13.766512889356239,0.8019379574399765,0.32535008376117536,0.11704543525350153,-8.286618121119925,-5.275438548971051,-0.5700910042652136,0.8275147205462264,0.5129606301192668,0.2850619743256126,0.8618053980098634,0.5045253542979016,0.22482355562830286,0.7499372337962559,0.2632244532522444,0.08452403902031963
ok,05,transformer.transformer_blocks.3,dual,3,0.5,13.418293952941895,11.389593124389648,13.693623596429825,1381.6544189453125,1183.2869873046875,1542.825668334961,313.46938775510205,406.3492063492063,66.46712018140585,-26.265173245267537,-30.33160532177306,-25.275687435258835,0.0,0.6668565355360423,0.45855188702836847,2.713037063478251,-2.2725553111375945,2.432792233568243,0.1253213659132137,0.6565410976022515,0.4286424418085973,0.02725080225623309,0.6847892699995715,0.40508747132997275,0.0,0.6569207250817959,0.4782203108498711
ok,05,transformer.transformer_blocks.3,dual,3,1.0,15.946961402893066,11.389593124389648,13.693623596429825,1840.505615234375,1183.2869873046875,1542.825668334961,255.41950113378687,406.3492063492063,66.46712018140585,-22.644406757912844,-30.33160532177306,-25.275687435258835,0.0,0.6668565355360423,0.45855188702836847,4.512833972190665,-2.2725553111375945,2.432792233568243,0.09113506768596774,0.6565410976022515,0.4286424418085973,0.012085072480943653,0.6847892699995715,0.40508747132997275,0.0,0.6569207250817959,0.4782203108498711
ok,05,transformer.transformer_blocks.3,dual,3,2.0,15.76993179321289,11.389593124389648,13.693623596429825,2361.42822265625,1183.2869873046875,1542.825668334961,156.73469387755102,406.3492063492063,66.46712018140585,-24.893438604609678,-30.33160532177306,-25.275687435258835,0.0,0.6668565355360423,0.45855188702836847,7.986709158260644,-2.2725553111375945,2.432792233568243,0.04733058586023848,0.6565410976022515,0.4286424418085973,0.004823070487105117,0.6847892699995715,0.40508747132997275,0.0,0.6569207250817959,0.4782203108498711
ok,05,transformer.transformer_blocks.3,dual,3,4.0,1.5694860219955444,11.389593124389648,13.693623596429825,3006.14501953125,1183.2869873046875,1542.825668334961,2101.40589569161,406.3492063492063,66.46712018140585,-6.35041500826071,-30.33160532177306,-25.275687435258835,0.8701267354356187,0.6668565355360423,0.45855188702836847,-11.80467556087179,-2.2725553111375945,2.432792233568243,0.8898912841695498,0.6565410976022515,0.4286424418085973,0.9104614967075603,0.6847892699995715,0.40508747132997275,0.8211245150454605,0.6569207250817959,0.4782203108498711
